Region, CO2 total output emission rate (lb/MWh) by state 2019, Year
US,884.23,2019
ALABAMA,781.905,2019
ALASKA,969.657,2019
ARIZONA,869.18,2019
ARKANSAS,1121.449,2019
CALIFORNIA,385.591,2019
COLORADO,1322.745,2019
CONNECTICUT,474.377,2019
DELAWARE,709.974,2019
DISTRICT OF COLUMBIA,796.57,2019
FLORIDA,873.661,2019
GEORGIA,876.208,2019
HAWAII,1550.538,2019
IDAHO,210.845,2019
ILLINOIS,720.994,2019
INDIANA,1623.637,2019
IOWA,855.493,2019
KANSAS,887.175,2019
KENTUCKY,1767.68,2019
LOUISIANA,823.639,2019
MAINE,205.232,2019
MARYLAND,734.631,2019
MASSACHUSETTS,773.102,2019
MICHIGAN,1006.839,2019
MINNESOTA,874.768,2019
MISSISSIPPI,835.152,2019
MISSOURI,1586.815,2019
MONTANA,1253.318,2019
NEBRASKA,1255.483,2019
NEVADA,737.453,2019
NEW HAMPSHIRE,251.051,2019
NEW JERSEY,543.142,2019
NEW MEXICO,1319.372,2019
NEW YORK,376.722,2019
NORTH CAROLINA,775.01,2019
NORTH DAKOTA,1436.445,2019
OHIO,1235.41,2019
OKLAHOMA,731.952,2019
OREGON,396.591,2019
PENNSYLVANIA,754.916,2019
PUERTO RICO,1537.308,2019
RHODE ISLAND,851.411,2019
SOUTH CAROLINA,535.124,2019
SOUTH DAKOTA,489.05,2019
TENNESSEE,700.313,2019
TEXAS,909.538,2019
UTAH,1590.641,2019
VERMONT,40.858,2019
VIRGINIA,633.189,2019
WASHINGTON,297.247,2019
WEST VIRGINIA,1929.876,2019
WISCONSIN,1225.376,2019
WYOMING,2053.963,2019
